alcoholToleranceMax,alcoholToleranceMin,attenuationMax,attenuationMin,category,description,fermentTempMax,fermentTempMin,id,name,productId,supplier,yeastFormat,yeastType
,,,,yeast,,,,1531,10th Anniversary Blend,,,,
15,10,80,75,yeast,"Used to produce Trappist style beers. Similar to WLP500, but is less fruity and more alcohol tolerant (up to 15% ABV). Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels.",72,66,1756,Abbey Ale,WLP530,White Labs,liquid,ale
15,10,82,74,yeast,"An authentic Trappist style yeast. Use for Belgian style ales, dubbels, trippels, and specialty beers. Fruit character is medium, in between WLP500 (high) and WLP530 (low).",72,66,1757,Abbey IV Ale,WLP540,White Labs,liquid,ale
11,11,77,73,yeast,"Very clean, crisp flavor characteristics with low fruitiness and mild ester production. A very versatile yeast for styles that desire dominant malt and hop character. This strain makes a wonderful ?House? strain. Mild citrus notes develop with cooler 60-66?F (15-19?C) fermentations. Normally requires filtration for bright beers.",72,60,1835,American Ale,1056,Wyeast,liquid,ale
12,8,80,72,yeast,"Our most popular yeast strain is WLP001, California Ale Yeast. This blend celebrates the strengths of California- clean, neutral fermentation, versatile usage, and adds two other strains that belong to the same 'clean/neutral' flavor category. The additional strains create complexity to the finished beer. This blend tastes more lager like than WLP001. Hop flavors and bitterness are accentuated, but not to the extreme of California. Slight sulfur will be produced during fermentation.",72,68,1534,American Ale Blend,WLP060,White Labs,liquid,ale
10,10,76,72,yeast,"With many of the best qualities that brewers look for when brewing American styles of beer, this strain?s performance is consistent and it makes great beer. This versatile strain is a very good choice for a ?House? strain. Expect a soft, clean profile with hints of nut, and a slightly tart finish. Ferment at warmer temperatures to accentuate hop character with an increased fruitiness. Or, ferment cool for a clean, light citrus character. It attenuates well and is reliably flocculent, producing bright beer without filtration.",72,60,1836,American Ale II,1272,Wyeast,liquid,ale
10,5,75,70,yeast,"This yeast is used to produce the Oregon style American Hefeweizen. Unlike WLP300, this yeast produces a very slight amount of the banana and clove notes. It produces some sulfur, but is otherwise a clean fermenting yeast, which does not flocculate well, producing a cloudy beer.",69,65,1536,American Hefeweizen Ale,WLP320,White Labs,liquid,wheat
9,9,77,73,yeast,A complex and aromatic strain that can be used for a variety of lager beers. This strain is an excellent choice for Classic American Pilsner beers.,58,48,1837,American Lager,2035,Wyeast,liquid,lager
10,5,80,75,yeast,This yeast is used to produce American style lagers. Dry and clean with a very slight apple fruitiness. Sulfur and diacetyl production is minimal.,55,50,1761,American Lager,WLP840,White Labs,liquid,lager
,,,,yeast,,,,1538,American Megabrewery,,,,
,,,,yeast,,,,1539,American Microbrewery Ale No.1,,,,
,,,,yeast,,,,1540,American Microbrewery Ale No.2,,,,
,,,,yeast,,,,1541,American Microbrewery Lager,,,,
10,10,78,74,yeast,"A strong fermenting, true top cropping yeast that produces a dry, slightly tart, crisp beer. Ideal for beers when a low ester profile is desirable.",74,58,1838,American Wheat,1010,Wyeast,liquid,ale
,,,,yeast,,,,1542,American Wheat Ale,,,,
,,,,yeast,,,,1543,American White Ale,,,,
10,5,80,73,yeast,"Clean, almost lager like Belgian type ale yeast. Good for Belgian type pales ales and amber ales, or with blends to combine with other Belgian type yeast strains. Biscuity, ale like aroma present. Hop flavors and bitterness are accentuated. Slight sulfur will be produced during fermentation, which can give the yeast a lager like flavor profile.",70,67,1762,Antwerp Ale,WLP515,White Labs,liquid,ale
16,16,,80,yeast,"German red wine yeast, which results in spicy, fruit aromas. Perfect for Pinot Noir and Zinfandel. Slow to moderate fermenter which is cold tolerant.",90,50,1946,Assmanshausen Wine,WLP749,White Labs,liquid,wine
,,,,yeast,,,,1544,Attenuation 80 percent,,,,
10,5,75,70,yeast,"Produces a clean, malty beer. Pleasant ester character, can be described as ""bready."" Can ferment successfully, and clean, at higher temperatures. This yeast combines good flocculation with good attenuation.",70,65,1763,Australian Ale,WLP009,White Labs,liquid,ale
15,15,,80,yeast,"Champagne isolate used for complexity in whites. Contributes elegance, especially in barrel fermented Chardonnays.",90,60,1942,Avize Wine,WLP718,White Labs,liquid,wine
,,,,yeast,,,,1545,Bastogne Belgian Ale,,,,
9,9,77,73,yeast,"Used by many German breweries to produce rich, full-bodied, malty beers, this strain is a good choice for bocks and dopplebocks. A thorough diacetyl rest is recommended after fermentation is complete.",58,46,1839,Bavarian Lager,2206,Wyeast,liquid,lager
10,5,77,73,yeast,"Former Yeast Lab W51 yeast strain, acquired from Dan McConnell. The description originally used by Yeast Lab still fits: ""This strain produces a classic German-style wheat beer, with moderately high, spicy, phenolic overtones reminiscent of cloves.""",70,66,1764,Bavarian Weizen,WLP351,White Labs,liquid,wheat
10,10,76,70,yeast,"A complex alternative to the standard German wheat strain profile. This strain produces apple, pear, and plum esters in addition to the dominant banana character. The esters are complemented nicely by clove and subtle vanilla phenolics. The balance can be manipulated towards ester production through increasing fermentation temperature, increasing the wort density, and decreasing the pitch rate. Over pitching can result in a near complete loss of banana character. Decreasing the ester level will allow a higher clove character to be perceived. Sulfur is commonly produced, but will dissipate with conditioning. This strain is very powdery and will remain in suspension for an extended amount of time following attenuation. This is true top cropping yeast and requires fermenter headspace of 33%.",75,64,1841,Bavarian Wheat,3638,Wyeast,liquid,ale
10,10,77,73,yeast,This proprietary blend of a top-fermenting neutral ale strain and a Bavarian wheat strain is a great choice when a subtle German style wheat beer is desired. The complex esters and phenolics from the wheat strain are nicely softened and balanced by the neutral ale strain.,74,64,1840,Bavarian Wheat Blend,3056,Wyeast,liquid,wheat
,,,,yeast,,,,1548,Bavarian Wheat Yeast,,,,
10,5,80,72,yeast,"Ferments dry and flocculates very well. Produces a distinctive ester profile. Good choice for most English style ales including bitter, pale ale, porter, and brown ale.",70,65,1549,Bedford British,WLP006,White Labs,liquid,ale
12,12,78,74,yeast,"A widely used and alcohol tolerant Abbey yeast that is suitable for a variety of Belgian style ales. This strain produces a nice ester profile as well as slightly spicy alcohol notes. It can be slow to start; however, it attenuates well.",78,68,1842,Belgian Abbey,1214,Wyeast,liquid,ale
12,12,77,73,yeast,An excellent yeast strain for use in Belgian dark strong ales. This strain has a relatively ?clean profile? which allows a rich malt and distinctive ethanol character to shine. Delicate dried fruit esters can be produced when used at higher fermentation temperatures or in a high gravity wort.,75,65,1843,Belgian Abbey II,1762,Wyeast,liquid,ale
,,,,yeast,,,,1960,Belgian Ale,,,,
12,8,85,78,yeast,"Saisons, Belgian Ales, Belgian Reds, Belgian Browns, and White beers are just a few of the classic Belgian beer styles that can be created with this yeast strain. Phenolic and spicy flavors dominate the profile, with less fruitiness then WLP500.",78,68,1766,Belgian Ale,WLP550,White Labs,liquid,ale
,,,,yeast,,,,1552,Belgian Ale No.1,,,,
,,,,yeast,,,,1553,Belgian Ale No.2,,,,
,,,,yeast,,,,1554,Belgian Ale No.3,,,,
12,12,76,72,yeast,"One of the great and versatile strains for the production of classic Belgian style ales. This strain produces a beautiful balance of delicate fruit esters and subtle spicy notes; with neither one dominating. Unlike many other Belgian style strains, this strain is highly flocculent and results in bright beers.",76,65,1845,Belgian Ardennes,3522,Wyeast,liquid,ale
15,10,80,74,yeast,"A high gravity, Trappist style ale yeast. Produces dry beer with slight acidic finish. More ?clean? fermentation character than WLP500 or WLP530. Not as spicy as WLP530 or WLP550. Excellent yeast for high gravity beers, Belgian ales, dubbels and trippels.",72,66,1767,Belgian Bastogne Ale,WLP510,White Labs,liquid,ale
15,10,78,73,yeast,"From East Flanders, versatile yeast that can produce light Belgian ales to high gravity Belgian beers (12% ABV). A combination of fruitiness and phenolic characteristics dominate the flavor profile. Some sulfur is produced during fermentation, which will dissipate following the end of fermentation.",75,68,1768,Belgian Golden Ale,WLP570,White Labs,liquid,ale
10,5,78,72,yeast,"Clean, crisp European lager yeast with low sulfur  production. The strain originates from a very old brewery in West Belgium. Great for European style pilsners, dark lagers, Vienna lager, and American style lagers.",55,50,1950,Belgian Lager,WLP815,White Labs,liquid,lager
,,,,yeast,,,,1557,Belgian Lambic Blend,,,,
12,12,80,76,yeast,"This strain is the classic farmhouse ale yeast. A traditional yeast that is spicy with complex aromatics, including bubble gum. It is very tart and dry on the palate with a mild fruitiness. Expect a crisp, mildly acidic finish that will benefit from elevated fermentation temperatures. This strain is notorious for a rapid and vigorous start to fermentation, only to stick around 1.035 S.G. Fermentation will finish, given time and warm temperatures. Warm fermentation temperatures at least 90?F (32?C) or the use of a secondary strain can accelerate attenuation.",95,70,1847,Belgian Saison,3724,Wyeast,liquid,ale
10,5,75,65,yeast,"Classic Saison yeast from Wallonia. It produces earthy, peppery, and spicy notes. Slightly sweet. With high gravity Saisons, brewers may wish to dry the beer with an alternate yeast added after 75% fermentation.",75,68,1769,Belgian Saison I,WLP565,White Labs,liquid,ale
,,,,yeast,,,,1558,Belgian Saison I Ale,,,,
10,5,85,78,yeast,"Saison strain with more fruity ester production than with WLP565. Moderately phenolic, with a clove-like characteristic in finished beer flavor and aroma. Ferments faster than WLP565.",78,68,1770,Belgian Saison II,WLP566,White Labs,liquid,ale
,,,,yeast,,,,1559,Belgian Saison Yeast,,,,
,,,,yeast,,,,1560,Belgian Schelde Ale Yeast,,,,
13,12,78,74,yeast,"The classic choice for brewing golden strong ales. This alcohol tolerant strain will produce a complex ester profile balanced nicely with subtle phenolics. Malt flavors and aromas will remain even with a well attenuated dry, tart finish. It may continue to produce CO2 for an extended period after packaging or collection.",80,64,1848,Belgian Strong Ale,1388,Wyeast,liquid,ale
15,10,85,78,yeast,"From the Ardennes region of Belgium, this classic yeast strain produces moderate levels of ester and spicy phenolic character. Typically results in a dry, but balanced finish. This yeast is well suited for Belgian dark strongs, Abbey Ales, and Christmas beers.",72,66,1772,Belgian Strong Ale,WLP545,White Labs,liquid,ale
12,8,80,74,yeast,"A blend of Trappist type yeast (2) and one Belgian ale type yeast. This creates a versatile blend that can be used for Trappist type beer, or a myriad of beers that can be described as 'Belgian type'.",75,68,1773,Belgian Style Ale Blend,WLP575,White Labs,liquid,ale
,,,,yeast,,,,1562,Belgian Style Ale Yeast Blend,,,,
10,5,80,70,yeast,"This blend melds Belgian style ale and Saison strains. The strains work in harmony to create complex, fruity aromas and flavors. The blend of yeast strains encourages complete fermentation in a timely manner. Phenolic, spicy, earthy, and clove like flavors are also created.",80,70,1774,Belgian Style Saison Ale Blend,WLP568,White Labs,liquid,ale
12,12,76,72,yeast,"Isolated from a small Belgian brewery, this strain produces beers with moderate esters and minimal phenolics. Apple, bubblegum and plum-like aromas blend nicely with malt and hops. This strain will finish dry with a hint of tartness.",74,64,1849,Belgian Wheat,3942,Wyeast,liquid,wheat
,,,,yeast,,,,1564,Belgian Wheat Yeast,,,,
10,5,78,74,yeast,"Slightly phenolic and tart, this is the original yeast used to produce Wit in Belgium.",74,67,1565,Belgian Wit Ale,WLP400,White Labs,liquid,wheat
10,5,75,70,yeast,"Less phenolic than WLP400, and more spicy. Will leave a bit more sweetness, and flocculation is higher than WLP400. Use to produce Belgian Wit, spiced Ales, wheat Ales, and specialty Beers.",74,67,1566,Belgian Wit II Ale,WLP410,White Labs,liquid,wheat
12,11,76,72,yeast,"This versatile witbier yeast strain can be used in a variety of Belgian style ales. This strain produces a complex flavor profile dominated by spicy phenolics with low to moderate ester production. It is a great strain choice when you want a delicate clove profile not to be overshadowed by esters. It will ferment fairly dry with a slightly tart finish that compliments the use of oats, malted and unmalted wheat. This strain is a true top cropping yeast requiring full fermenter headspace of 33%.",75,62,1850,Belgian Witbier,3944,Wyeast,liquid,wheat
,,,,yeast,,,,1568,Bell's Oberon,,,,
,,,,yeast,,,,1569,Biere De Garde,,,,
9,9,77,73,yeast,"This Carlsberg type yeast is the most widely used lager strain in the world. This strain produces a distinct malty profile with some ester character and a crisp finish. A versatile strain, that is great to use with lagers or Pilsners for fermentations in the 45-55?F (8-12?C) range. It may also be used for Common beer production with fermentations at 65-68?F (18-20?C). A thorough diacetyl rest is recommended after fermentation is complete.",68,45,1852,Bohemian Lager,2124,Wyeast,liquid,lager
14,14,,,yeast,"Produces distinctive intense berry, graham cracker nose. Jammy, rich, very smooth complex profile, slightly vinuous. Well suited to higher sugar content musts.",90,60,1853,Bordeaux,4267,Wyeast,liquid,wine
,,,,yeast,,,,1571,Bread yeast (any variety),,,,
,,,,yeast,,,,1963,Brettanomyces,,,,
,,,,yeast,,,,1572,Brettanomyces Bruxellensis,,,,
,,,,yeast,,,,1573,Brettanomyces Claussenii,,,,
,,,,yeast,,,,1574,Brettanomyces Lambicus,,,,
,,,,yeast,,,,1575,Brewferm Blanche Dry Yeast,,,,
,,,,yeast,,,,1576,Brewferm Lager Dry Yeast,,,,
10,5,74,67,yeast,"This yeast is a little more attenuative than WLP002. Like most English strains, this yeast produces malty beers. Excellent for all English style ales including bitter, pale ale, porter, and brown ale.",70,65,1577,British Ale,WLP005,White Labs,liquid,ale
10,10,75,73,yeast,"This yeast allows malt and hop character to dominate the profile. It ferments dry and crisp, slightly tart, fruity and well balanced. Beers will finish clean and neutral. Ferments well down to 64?F (18?C).",72,64,1857,British Ale,1098,Wyeast,liquid,ale
10,10,76,73,yeast,"A classic British ale profile with good flocculation and malty flavor characteristics. It will finish crisp, clean and fairly dry.",75,63,1858,British Ale II,1335,Wyeast,liquid,ale
,,,,yeast,,,,1579,British Cask Ale,,,,
,,,,yeast,,,,1580,British Draft Ale,,,,
,,,,yeast,,,,1581,British Microbrewery Ale,,,,
,,,,yeast,,,,1582,British Pale Ale No.1,,,,
,,,,yeast,,,,1583,British Pale Ale No.2,,,,
,,,,yeast,,,,1584,British Real Ale,,,,
9,9,75,71,yeast,"The Budvar strain has a nice malty nose with subtle fruit tones and a rich malt profile on the palate. It finishes malty but dry, well balanced and crisp. Hop character comes through in the finish.",56,48,1861,Budvar Lager,2000,Wyeast,liquid,lager
,,,,yeast,,,,1585,Budvar Lager Yeast,,,,
10,5,75,69,yeast,"From the famous brewing town of Burton upon Trent, England, this yeast is packed with character. It provides delicious subtle fruity flavors like apple, clover honey and pear. Great for all English styles, IPA's, bitters, and pales. Excellent in porters and stouts.",73,68,1586,Burton Ale,WLP023,White Labs,liquid,ale
16,16,,80,yeast,"High temperature tolerance. Moderate fermentation speed. Excellent for full-bodied red wines, ester production complements flavor. WLP760 is also suitable for Merlot, Chardonnay, Chianti, Chenin Blanc, and Sauvignon Blanc.",90,60,1948,Cabernet Red Wine,WLP760,White Labs,liquid,wine
15,10,80,73,yeast,"This yeast is famous for its clean flavors, balance and ability to be used in almost any style ale. It accentuates the hop flavors and is extremely versatile.",73,68,1587,California Ale,WLP001,White Labs,liquid,ale
12,8,75,70,yeast,"From Northern California. This strain is more fruity than WLP001, and slightly more flocculent. Attenuation is lower, resulting in a fuller bodied beer than with WLP001.",70,66,1588,California Ale V,WLP051,White Labs,liquid,ale
,,,,yeast,,,,1589,California Esteem,,,,
9,9,71,67,yeast,"This strain is particularly well suited for producing 19th century-style West Coast beers with woody/minty hop flavor. It retains lager characteristics at temperatures up to 65?F (18?C) and produces malty, brilliantly clear beers. This strain is not recommended for cold temperature fermentation.",68,58,1862,California Lager,2112,Wyeast,liquid,lager
,,,,yeast,,,,1591,California Pub Ale,,,,
,,,,yeast,,,,1592,Canadian Ale,,,,
,,,,yeast,,,,1593,Canadian/Belgian Style Yeast,,,,
13,12,,,yeast,"Produces extremely fruity profile, high ester formation, bready aromas with vanilla notes. Allows fruit character to dominate aroma and flavor profile. Finishes slightly sweet and soft.",75,55,1832,Chablis,4242,Wyeast,liquid,wine
17,17,,75,yeast,"Classic yeast, used to produce champagne, cider, dry meads, dry wines, or to fully attenuate barley wines & strong ales. Neutral.",75,70,1783,Champagne,WLP715,White Labs,liquid,champagne
,,,,yeast,,,,1594,Champagne Yeast,,,,
14,14,,80,yeast,"Dry wine yeast. Slight ester production, low sulfur dioxide production. Enhances varietal character. WLP730 is a good choice for all white and blush wines, including Chablis, Chenin Blanc, Semillon, and Sauvignon Blanc. Fermentation speed is moderate.",90,50,1943,Chardonnay White Wine,WLP730,White Labs,liquid,wine
14,14,,,yeast,"Ideal for red or white wines, which mature rapidly with Beaujolais type fruitiness, and for bigger reds requiring aging. Low foaming, low sulfur production over a broad range of temperatures.",90,55,1951,Chateau Red,4028,Wyeast,liquid,wine
14,14,,,yeast,"Rich, very big and bold, well rounded profile. Nice soft fruit character with dry crisp finish. Excellent choice for most Italian grape varieties.",75,55,1952,Chianti,4244,Wyeast,liquid,wine
,,,,yeast,,,,1961,Chico 1056,,,,
,,,,yeast,,,,1595,Chimay bottle culture,,,,
,,,,yeast,,,,1596,Classic British Ale,,,,
,,,,yeast,,,,1597,Cooper Ale,,,,
,,,,yeast,,,,1598,Cooper's Ale Dry Yeast,,,,
12,8,80,75,yeast,"This is a blend of ale and lager yeast strains.  The strains work together to create a clean, crisp, light American lager style ale. A pleasing estery aroma may be perceived from the ale yeast contribution. Hop flavors and bitterness are slightly subdued. Slight sulfur will be produced during fermentation, from the lager yeast.",70,65,1784,Cream Ale Blend,WLP080,White Labs,liquid,ale
,,70,66,yeast,"Licensed from Charlie Papazian, this strain can ferment at ale and lager temperatures, allowing brewers to produce diverse beer styles. The recipes in both Papazian's books, The Complete Joy of Homebrewing and The Homebrewers Companion, were originally developed and brewed with this yeast. Optimum Cellaring Temperature: 50-55?F",74,68,1785,Cry Havoc (Ale),WLP862,White Labs,liquid,lager
,,70,66,yeast,"Licensed from Charlie Papazian, this strain can ferment at ale and lager temperatures, allowing brewers to produce diverse beer styles. The recipes in both Papazian's books, The Complete Joy of Homebrewing and The Homebrewers Companion, were originally developed and brewed with this yeast. Optimum Lagering Temperature: 32-37?F",58,55,1786,Cry Havoc (Lager),WLP862,White Labs,liquid,lager
10,5,80,75,yeast,"Pilsner lager yeast from Southern Czech Republic. Produces dry and crisp lagers, with low diacetyl production.",55,50,1787,Czech Budejovice Lager,WLP802,White Labs,liquid,lager
9,9,74,70,yeast,"Originating from the home of great Pilsners in the Czech Republic, this classic Pilsner strain will finish dry and malty. It is the perfect choice for Pilsners and all malt beers. Sulfur produced during fermentation can be reduced with warmer fermentation temperatures 58?F (14?C) and will dissipate with conditioning.",58,50,1864,Czech Pils,2278,Wyeast,liquid,lager
,,,,yeast,,,,1600,Czech Pilsner Lager,,,,
9,9,77,73,yeast,"This yeast is a good choice for Dortmund-style lagers. It will ferment crisp and dry with a soft, rounded profile that accentuates hop characteristics.",56,46,1865,Danish Lager,2042,Wyeast,liquid,lager
10,10,76,74,yeast,"This terrific all-round yeast can be used for almost any beer style, and is a mainstay of one of our local homebrewers, Mr. Denny Conn. It is unique in that it produces a big mouthfeel and accentuates the malt, caramel, or fruit character of a beer without being sweet or under-attenuated..",70,60,1867,Denny's Favorite 50,1450,Wyeast,liquid,ale
,,77,77,yeast,"Diamond lager yeast gives true lager yeast performance together with the convenience & consistency of dry yeast, making Diamond the perfect choice for the full range of lager beers.",59,50,1957,Diamond,,Danstar,dry,lager
,,,,yeast,,,,1605,Doric Ale,,,,
,,,,yeast,,,,1606,"Dregs, JW Lees Harvest Ale",,,,
12,8,80,70,yeast,"Clean, highly flocculent, and highly attenuative yeast. This yeast is similar to WLP002 in flavor profile, but is 10% more attenuative. This eliminates the residual sweetness, and makes the yeast well suited for high gravity ales. It is also reaches terminal gravity quickly. 80% attenuation will be reached even with 10% ABV beers.",70,65,1607,Dry English Ale,WLP007,White Labs,liquid,ale
,,,,yeast,,,,1608,Dry Mead Yeast (WYeast 4362),,Wyeast,,
10,5,72,65,yeast,"Traditional Alt yeast from Dusseldorf, Germany. Produces clean, slightly sweet alt beers. Does not accentuate hop flavor as WLP029 does.",69,65,1789,Dusseldorf Alt,WLP036,White Labs,liquid,ale
,,,,yeast,,,,1609,Dutch Castle,,,,
10,5,75,70,yeast,"Our ""Brewer Patriot"" strain can be used to reproduce many of the American versions of classic beer styles. Similar neutral character of WLP001, but less attenuation, less accentuation of hop bitterness, slightly less flocculation, and a little tartness. Very clean and low esters. Great yeast for golden, blonde, honey, pales and German alt style ales.",73,68,1610,East Coast Ale,WLP008,White Labs,liquid,ale
,,,,yeast,,,,1611,East European Lager,,,,
,,,,yeast,,,,1612,ECY01 BugFarm,,,,
,,,,yeast,,,,1613,ECY02 Flemish Ale,,,,
,,,,yeast,,,,1614,ECY03 Farmhouse Brett,,,,
,,,,yeast,,,,1615,ECY04 BRETT Blend 1,,,,
,,,,yeast,,,,1616,ECY05 BRETT Blend 9,,,,
,,,,yeast,,,,1617,ECY07 Scottish Heavy,,,,
,,,,yeast,,,,1618,ECY08 Saison Brasserie Blend,,,,
,,,,yeast,,,,1619,ECY10 Old Newark Ale,,,,
,,,,yeast,,,,1620,ECY12 Old Newark Beer,,,,
,,,,yeast,,,,1621,ECY13 Trappist Ale,,,,
12,8,75,70,yeast,"Scotland is famous for its malty, strong ales. This yeast can reproduce complex, flavorful Scottish style ales. This yeast can be an everyday strain, similar to WLP001. Hop character is not muted with this strain, as it is with WLP002.",70,65,1622,Edinburgh Scottish Ale,WLP028,White Labs,liquid,ale
,,,,yeast,,,,1623,Edme Ale Dry Yeast,,,,
,,,,yeast,,,,1624,Edme Ale Yeast,,,,
10,5,70,63,yeast,"A classic ESB strain from one of England's largest independent breweries. This yeast is best suited for English style ales including milds, bitters, porters, and English style stouts. This yeast will leave a beer very clear, and will leave some residual sweetness.",68,65,1625,English Ale,WLP002,White Labs,liquid,ale
,,,,yeast,,,,1626,English Ale II,,,,
12,8,,80,yeast,"Classic cider yeast. Ferments dry, but retains flavor from apples. Sulfur is produced during fermentation, but will disappear in first two weeks of aging. Can also be used for wine and high gravity beers.",75,68,1627,English Cider,WLP775,White Labs,liquid,wine
,,,,yeast,,,,1628,English Special Bitter,,,,
10,5,76,71,yeast,"Flavorful British style yeast. Drier finish than many British ale yeast. Produces slightly fruity and bready character.    Good top fermenting yeast strain, is well suited for top cropping (collecting). This yeast is well suited for classic British milds, pale ales, bitters, and stouts. Does not flocculate as much as WLP002 and WLP005.",70,66,1629,Essex Ale,WLP022,White Labs,liquid,ale
10,10,71,67,yeast,"A full-bodied strain, finishing very malty with a complex flavor profile. This strain?s characteristics are very desirable in English style brown ales and porters. It produces a dense, rocky head during fermentation, and can be a slow to start and to attenuate. This yeast may continue to produce CO2 for an extended period after packaging or collection.",72,62,1868,European Ale,1338,Wyeast,liquid,ale
10,5,70,65,yeast,"Malty, Northern European-origin ale yeast. Low ester production, giving a clean profile. Little to no sulfur production. Low attenuation helps to contribute to the malty character. Good for Alt, Kolsch, malty English ales, and fruit beers.",70,65,1630,European Ale,WLP011,White Labs,liquid,ale
,,,,yeast,,,,1631,European Lager II,,,,
,,,,yeast,,,,1632,Farmhouse Ale,,,,
,,,,yeast,,,,1633,Fermentis Safeale S-04,,,,
,,,,yeast,,,,1634,Fermentis Saflager S-23,,,,
,,,,yeast,,,,1635,Fermentis US-05,,,,
,,,,yeast,,,,1636,Fermentis WB-06 Dry Wheat Beer Yeast,,,,
16,16,,80,yeast,"This yeast develops a film (flor) on the surface of the wine. Creates green almond, granny smith and nougat characteristics found in sherry. Can also be used for Port, Madeira and other sweet styles. For use in secondary fermentation. Slow fermentor.",,70,1637,Flor Sherry,WLP700,White Labs,liquid,wine
,,,,yeast,,,,1638,Flying Dog Ale Yeast,,,,
12,12,76,72,yeast,"A widely used strain in the production of Witbier and Grand Cru. This yeast will produce spicy phenolics which are balanced nicely by a complex ester profile. The subtle fruit character and dry tart finish will complement wheat malt, orange peel and spice additions typical of Wits.",76,63,1871,Forbidden Fruit,3463,Wyeast,liquid,ale
17,17,,80,yeast,"Classic Bordeaux yeast for red wine fermentations. Moderate fermentation characteristics. Tolerates lower fermentation temperatures. Rich, smooth flavor profile.",90,60,1947,French Red Wine,WLP750,White Labs,liquid,wine
